Source,Target,Type,Weight,book
Velerad,Geralt,Undirected,1,1
Geralt,Foltest,Undirected,5,1
Foltest,Geralt,Undirected,4,1
Adda,Geralt,Undirected,1,1
Geralt,Ostrit,Undirected,4,1
Ostrit,Geralt,Undirected,5,1
Ostrit,Foltest,Undirected,1,1
Ostrit,Velerad,Undirected,1,1
Foltest,Velerad,Undirected,1,1
Foltest,Adda,Undirected,1,1
Geralt,Adda,Undirected,2,1
Foltest,Two,Undirected,1,1
Yennefer,Nenneke,Undirected,2,1
Nenneke,Geralt,Undirected,12,1
Geralt,Nenneke,Undirected,12,1
Geralt,Iola,Undirected,4,1
Nenneke,Iola,Undirected,8,1
Roach,Geralt,Undirected,3,1
Two,Geralt,Undirected,2,1
Geralt,Roach,Undirected,4,1
Geralt,Nivellen,Undirected,14,1
Nivellen,Geralt,Undirected,11,1
Fenne,Geralt,Undirected,1,1
Geralt,Fenne,Undirected,1,1
Asse,Geralt,Undirected,2,1
Roach,Vereena,Undirected,2,1
Vereena,Geralt,Undirected,4,1
Vereena,Nivellen,Undirected,2,1
Hereward,Nenneke,Undirected,5,1
Hereward,Geralt,Undirected,4,1
Nenneke,Hereward,Undirected,4,1
Geralt,Hereward,Undirected,3,1
Nenneke,Falwick,Undirected,4,1
Falwick,Nenneke,Undirected,6,1
Geralt,Falwick,Undirected,5,1
Hereward,Falwick,Undirected,3,1
Falwick,Geralt,Undirected,3,1
Falwick,Hereward,Undirected,2,1
Geralt,Caldemeyn,Undirected,4,1
Caldemeyn,Geralt,Undirected,9,1
Stregobor,Count,Undirected,1,1
Stregobor,Geralt,Undirected,4,1
Geralt,Eltibald,Undirected,1,1
Stregobor,Fredefalk,Undirected,2,1
Geralt,Fredefalk,Undirected,2,1
Fredefalk,Geralt,Undirected,1,1
Geralt,Stregobor,Undirected,8,1
Fredefalk,Renfri,Undirected,2,1
Renfri,Fredefalk,Undirected,2,1
Nohorn,Geralt,Undirected,1,1
Nohorn,Tavik,Undirected,1,1
Civril,Tavik,Undirected,3,1
Tavik,Fifteen,Undirected,1,1
Fifteen,Tavik,Undirected,1,1
Civril,Renfri,Undirected,4,1
Renfri,Civril,Undirected,1,1
Renfri,Tavik,Undirected,1,1
Tavik,Renfri,Undirected,1,1
Tavik,Caldemeyn,Undirected,1,1
Renfri,Caldemeyn,Undirected,3,1
Caldemeyn,Renfri,Undirected,2,1
Geralt,Renfri,Undirected,11,1
Renfri,Audoen,Undirected,3,1
Audoen,Caldemeyn,Undirected,2,1
Geralt,Libushe,Undirected,1,1
Libushe,Geralt,Undirected,2,1
Renfri,Stregobor,Undirected,4,1
Geralt,Audoen,Undirected,2,1
Stregobor,Audoen,Undirected,1,1
Stregobor,Renfri,Undirected,8,1
Audoen,Renfri,Undirected,2,1
Renfri,Geralt,Undirected,8,1
Nohorn,Fifteen,Undirected,1,1
Nohorn,Civril,Undirected,1,1
Fifteen,Civril,Undirected,3,1
Baron,Civril,Undirected,1,1
Caldemeyn,Stregobor,Undirected,1,1
Stregobor,Baron,Undirected,1,1
Caldemeyn,Audoen,Undirected,1,1
Audoen,Geralt,Undirected,1,1
Civril,Fifteen,Undirected,1,1
Civril,Geralt,Undirected,1,1
Fifteen,Nohorn,Undirected,1,1
Iola,Geralt,Undirected,1,1
Yennefer,Iola,Undirected,1,1
Geralt,Haxo,Undirected,2,1
Haxo,Pavetta,Undirected,4,1
Haxo,Calanthe,Undirected,1,1
Pavetta,Calanthe,Undirected,9,1
Calanthe,Geralt,Undirected,17,1
Haxo,Geralt,Undirected,3,1
Geralt,Rainfarn,Undirected,1,1
Rainfarn,Windhalm,Undirected,4,1
Calanthe,Eist,Undirected,8,1
Calanthe,Pavetta,Undirected,12,1
Eist,Pavetta,Undirected,2,1
Eist,Calanthe,Undirected,7,1
Pavetta,Eist,Undirected,3,1
Eist,Crach,Undirected,3,1
Crach,Eist,Undirected,3,1
Crach,Draig,Undirected,2,1
Crach,Calanthe,Undirected,1,1
Draig,Calanthe,Undirected,2,1
Draig,Eist,Undirected,1,1
Calanthe,Drogodar,Undirected,1,1
